Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
Vanguard STAR Funds - Vanguard Total International Stock ETF,342134,Hansa Biopharma AB,904215
Betsson AB,3300033,Hokuetsu Corporation,3647031
Tianneng Power International Limited,23198737,Bank of Georgia Group Plc,1100221
Prestige International Inc.,1121679,"Nisshin OilliO Group, Ltd.",621412
ZTE Corporation,3540243,"Tokai Tokyo Financial Holdings, Inc.",5957854
EIZO Corporation,503880,Service Stream Limited,8838087
"Nippon Seiki Co., Ltd.",1168052,Sundaram Finance Limited,829219
"Telaria, Inc.",1788856,Imperial Logistics Limited,5647789
U-Ming Marine Transport Corporation,15743478,"Arlo Technologies, Inc.",4537021
"Koshidaka Holdings Co., Ltd.",1194157,"Principia Biopharma, Inc.",548153
Perseus Mining Limited,37432672,"Cathay Real Estate Development Co., Ltd.",25868909
KRUK Spólka Akcyjna,440576,TPI Polene Public Co. Ltd.,294155923
"The Okinawa Electric Power Company, Incorporated",1132448,Astro Malaysia Holdings Bhd.,51670492
"Valor Holdings Co., Ltd.",1029737,"LOTTE Fine Chemical Co,. Ltd.",440392
Liechtensteinische Landesbank AG,283205,Luxshare Precision Industry Co. Ltd. Class A,5781125
"Daewoo Engineering & Construction Co., Ltd.",4779035,"Juroku Bank, Ltd.",883533
Lonking Holdings Limited,67751002,Suruga Bank Ltd.,4749758
Cache Logistics Trust,33814561,Magyar Telekom Telecommunications Plc,12391812
Polar Capital Technology Trust plc,995444,Getac Technology Corporation,12368752
Kidman Resources Limited,13587058,IntegraFin Holdings PLC,3837000
Emlak Konut Gayrimenkul Yatırım Ortaklığı A.Ş.,77691332,Showa Corporation,1333094
Resurs Holding AB (publ),2931961,Genfit SA,1006897
"Nippon Densetsu Kogyo Co., Ltd.",859571,"Mastercraft Boat Holdings, Inc.",920520
Veidekke ASA,1603627,Mobile Telecommunications Co. Saudi Arabia,4779665
CAR Inc.,23184265,"Cutera, Inc.",866179
"Nippon Soda Co., Ltd.",718274,EPP NV,12918897
Light S.A.,3703876,"B. Riley Financial, Inc.",862339
Comet Holding AG,200590,Altisource Portfolio Solutions S.A.,914952
Hyosung Corporation,241360,Godrej Industries Limited,2570606
"Taiwan Hon Chuan Enterprise Co., Ltd.",9426306,Cato Corporation Class A,1458869
Varun Beverages Limited,2124309,"Hugel, Inc.",56761
Amorepacific Corporation,269153,create restaurants holdings inc.,1197519
Magyar Telekom Plc. d/b/a T-Home,12584162,Southern Province Cement Co.,1171579
"Pacific Industrial Co., Ltd.",1196791,Joyful Honda Co. Ltd.,1579955
CKD Corporation,1464196,Srf Limited,457103
NetEnt AB (publ),5005204,"Origin Bancorp, Inc.",543933
Industrial & Infrastructure Fund Investment Corporation,12785,Dr. Lal PathLabs Limited,1133028
Türk Telekomünikasyon Anonim Şirketi,18033641,"Keiyo Bank, Ltd.",2931218
PZ Cussons Plc,6697314,"Kenda Rubber Industrial Co., Ltd",19189556
Amalgamated Bank,1120321,Construtora Tenda SA,2656289
Unit Corporation,5216915,Shinkong Synthetic Fibers Corporation,41970728
"JAPAN MATERIAL Co., Ltd.",1545415,"Lotes Co., Ltd",2416104
"MasterCraft Boat Holdings, Inc.",959753,Emami Limited,3840288
China Education Group Holdings Limited,12524258,"Catalyst Pharmaceuticals, Inc.",4648908
"Corbus Pharmaceuticals Holdings, Inc.",3080166,Orient Corporation,15143284
Dynavax Technologies Corporation,3603383,"Rigel Pharmaceuticals, Inc.",6835279
Orient Securities Company Ltd.,11059220,Plus500 Ltd.,2149000
"Nippon Signal Co., Ltd.",1565216,"China International Marine Containers (Group) Co., Ltd Class H",18761314
NVE Corporation,238468,Lonking Holdings Limited,67748002
Sunway Berhad,44332990,"Bar Harbor Bankshares, Inc.",670286
"Hanwha Life Insurance Co., Ltd.",7892158,Europcar Mobility Group SA,2820655
OUE Hospitality Trust,32832652,"Mitsubishi Pencil Company, Limited",1141970
Bilia AB (publ),2113023,CNB Financial Corporation,630339
SK Networks Co. Ltd.,3795816,Ohsho Food Service Corp.,287635
LS Corporation,434712,Nanto Bank Ltd.,824312
"Paradise Co., Ltd.",1157777,"NN, Inc.",1822679
Tamburi Investment Partners S.p.A.,2713460,"euglena Co., Ltd.",1794200
Bank of Shanghai Co. Ltd.,13264514,Franklin Covey Co.,522490
Witan Investment Trust plc,6460456,"Taiwan Hon Chuan Enterprise Co., Ltd.",10060306
Helical Plc,3987820,Prestige International Inc.,1149182
"Charoen Pokphand Enterprise(Taiwan) Co., Ltd.",8161907,Luzhou Laojiao Company Limited Class A,1515855
Wafer Works Corporation,16650853,MARTINREA International Inc.,2227092
"Care.com, Inc.",1658636,Anhui Conch Cement Company Limited Class A,3086561
YFY Inc.,45795930,"Care.com, Inc.",1612235
Caverion Oyj,2651055,"Nippon Signal Company, Limited",1582921
MCB Bank Ltd.,15667460,OUE Hospitality Trust,32509397
Lovisa Holdings Limited,1964157,TOD'S S.p.A.,353174
Netwealth Group Limited,2955005,"Bank of Beijing Co., Ltd. Class A",21636476
Anhui Conch Cement Company Limited,2894061,Nova Measuring Instruments Ltd,691185
Foshan Haitian Flavouring and Food Company Ltd.,1103656,Hyundai Rotem Co.,1259905
"Nikkiso Co., Ltd.",1556846,Card Factory Plc,8688805
IGG Inc,23101454,"Willdan Group, Inc.",474566
"Heritage Insurance Holdings, Inc.",1152443,Shikun & Binui Ltd,5104127
"Showa Sangyo Co., Ltd.",595941,"i3 Verticals, Inc. Class A",599869
Torrent Pharmaceuticals Limited,714854,COFCO Meat Holdings Limited,46416006
Kuwait International Bank K.S.C.P.,19198170,"Daqin Railway Co., Ltd. Class A",15396835
"Cathay Real Estate Development Co.,Ltd.",25194909,"Towa Pharmaceutical Co., Ltd.",698610
Consolidated-Tomoka Land Co.,253045,Arena REIT,9018941
Kolon Industries Incorporation,482345,Titan Machinery Inc.,857614
Intrepid Potash Inc.,4826587,"Takara Standard Co., Ltd",1120565
Agenus Inc.,5540211,Caverion Oyj,2640797
"Westwood Holdings Group, Inc.",567222,Manila Water Co. Inc.,38210947
Select Harvests Limited,3286476,Concentradora Fibra Danhos SA de CV,12870266
Genworth Mortgage Insurance Australia Ltd.,7366166,VirnetX Holding Corporation,2837537
Liberty Latin America Ltd.,927236,Ingenia Communities Group,7459103
"Keiyo Bank, Ltd.",2941145,Tsogo Sun Gaming Limited,17735082
"Hallmark Financial Services, Inc.",945386,Betsson AB Class B,3282015
"Macnica Fuji Electronics Holdings, Inc.",1250105,"Japan Petroleum Exploration Co., Ltd.",798012
Construtora Tenda S.A.,2656689,"Mitsui E&S Holdings Co., Ltd.",1981988
"COSCO SHIPPING Development Co., Ltd.",142880265,RHON-KLINIKUM AG,649605
"Spōk Holdings, Inc.",1379042,"FTS International, Inc.",3143938
"Mitsui E&S Holdings Co., Ltd.",1990588,"Huaxin Cement Co., Ltd. Class B",8994806
"Financial Products Group Co., Ltd.",1684122,Indiabulls Ventures Limited,5052409
Genfit SA,983176,oOh media Ltd,5689700
China Maple Leaf Educational Systems Limited,51706488,"Hokkoku Bank, Ltd.",627453
Grendene S.A.,8153032,"COSCO SHIPPING Development Co., Ltd. Class H",141296265
PT Matahari Department Store Tbk,78026019,"Royal Holdings Co., Ltd.",701057
"Old Second Bancorp, Inc.",1325623,"Okamoto Industries, Inc.",374648
SRF Limited,446134,LEM Holding SA,12599
Chesnara Plc,4710157,Nippon Accommodations Fund Inc.,2961
Sapura Energy Berhad,262036930,BRF SA Sponsored ADR,2299351
"NextEra Energy Partners, LP",331176,"CSC Financial Co., Ltd. Class A",6205977
"Arlo Technologies, Inc.",4612983,AMOREPACIFIC CORP Pfd Registered Non-Voting,265139
"Maxell Holdings, Ltd.",1154996,U-Ming Marine Transport Corp.,15512478
The Renewables Infrastructure Group Limited,10624757,"Mitek Systems, Inc.",1756110
New Hope Corporation Limited,9673276,"Okinawa Electric Power Co., Inc.",1116708
Yulon Finance Corporation,4633838,Tamburi Investment Partners S.p.A.,2734589
"Byline Bancorp, Inc.",926237,AerCap Holdings NV,335426
China Life Insurance Company Ltd.,4044405,"Old Line Bancshares, Inc.",655516
Malakoff Corporation Berhad,83923200,Tesco Lotus Retail Growth Freehold & Leasehold Property Fund,24029777
BOE Technology Group Company Limited,44514738,Cloetta AB Class B,5809425
Ottogi Corporation,35278,Ripley Corp S.A.,23485258
"CRA International, Inc.",416279,"JB Financial Group Co., Ltd.",3736219
China YuHua Education Corporation Limited,32613489,"Macnica Fuji Electronics Holdings, Inc",1243135
Ashok Leyland Limited,19153067,Semirara Mining & Power Corp.,38448321
OrthoPediatrics Corp.,457646,Bega Cheese Limited,5690300
PT. Mitra Adiperkasa Tbk,232530487,PPC Ltd.,50576355
Compañía Sud Americana de Vapores S.A.,461243093,"Simulations Plus, Inc.",608437
EXEDY Corporation,838763,Malaysian Resources Corp. Bhd.,78789639
China BlueChemical Ltd.,61113068,HarborOne Bancorp Inc,1664821
"Daewoong Pharmaceutical Co., Ltd.",120124,"Byline Bancorp, Inc.",907411
Sany Heavy Industry Company Limited,8110660,Ulker Biskuvi Sanayi A.S.,5201687
Teva Pharmaceutical Industries Limited,2020570,"Heritage Insurance Holdings, Inc.",1125146
"China International Marine Containers (Group) Co., Ltd.",19028314,Fagron NV,1036391
HYUNDAI WIA Corporation,405242,"Utah Medical Products, Inc.",181039
Digital Arts Inc.,255275,"Spartan Motors, Inc.",1579493
YTL Power International Berhad,95630560,Shun Tak Holdings Limited,46556111
Royal Holdings Company Limited,695356,"SKC Co., Ltd.",484241
"Sterling Construction Company, Inc.",1317850,Canara Bank,5033692
Daiwa Office Investment Corporation,2204,"Sterling Construction Company, Inc.",1287575
Torrent Power Limited,4222988,FGV Holdings Bhd.,63089807
"Grupo Comercial Chedraui, S.A.B. de C.V.",11214432,Juventus Football Club S.p.A.,10021121
"Kadmon Holdings, Inc.",5713561,Frontline Ltd.,2156998
"Japan Logistics Fund, Inc.",6620,CITIC Securities Co. Ltd. Class A,5107150
Regional Management Corp.,595456,"OBIC Business Consultants Co., Ltd.",397297
"Eidos Therapeutics, Inc.",376178,DIC Asset AG,1512875
Kajaria Ceramics Limited,2368419,Johnson Outdoors Inc. Class A,230809
LEM Holding SA,12669,Turk Telekomunikasyon A.S.,17752986
Schaeffler AG,2062117,"BOE Technology Group Co., Ltd. Class B",43994438
Bank of Beijing Co. Ltd.,21363176,MCB Bank Limited,15680760
"Mos Food Services, Inc.",719988,Tassal Group Limited,4837603
National Mineral Development Corporation Limited,13955264,"Deciphera Pharmaceuticals, Inc.",761339
Shikun & Binui Ltd.,5126585,"HANWHA LIFE INSURANCE Co., Ltd.",7721375
Cloetta AB (publ),5602327,"Karyopharm Therapeutics, Inc.",2863190
"GenMark Diagnostics, Inc.",2706362,"Turning Point Therapeutics, Inc.",421200
"Bank of Ningbo Co., Ltd.",4770307,Unipres Corporation,1044665
Oil and Gas Development Company Limited,21647400,Liechtensteinische Landesbank AG,280292
"Kato Sangyo Co., Ltd.",552304,Unicaja Banco S.A.,21512619
China Suntien Green Energy Corporation Limited,60612948,Lar Espana Real Estate SOCIMI SA,2207321
"Daqin Railway Co., Ltd.",15051135,Topre Corporation,1132863
Ripley Corp S.A.,23485258,OrthoPediatrics Corp.,438845
"Del Taco Restaurants, Inc.",1455268,"Miller Industries, Inc.",556384
"OBI Pharma, Inc.",3558000,Companhia Energetica de Minas Gerais SA,3780208
Major Cineplex Group Public Company Limited,20068724,Egypt Kuwait Holding Co. SAE,13947981
Hyakugo Bank Ltd.,5212350,"Hua Xia Bank Co., Limited Class A",15561723
China Pacific Ins (Grp) Co Ltd,3027927,ZTE Corporation Class A,3572243
"MidWestOne Financial Group, Inc.",525085,"YFY, Inc.",45777930
"KYORIN Holdings, Inc.",988719,Saudi Airlines Catering Co.,707566
PT AKR Corporindo Tbk,57172558,NIIT Technologies Limited,974774
"Saizeriya Co.,Ltd.",681250,VGI Public Co Ltd,54284243
Oil India Limited,7754353,"Digital Turbine, Inc.",3403249
EVRY ASA,4476432,PT Wijaya Karya Tbk,101921056
"Nongshim Co., Ltd.",79513,Stagecoach Group plc,11330256
"Axonics Modulation Technologies, Inc.",516877,Interparfums,356543
Internet Initiative Japan Inc.,727164,"Asia Pacific Telecom Co., Ltd.",74466078
"PaySign, Inc.",1574326,GWA Group Limited,6890277
"Adastria Co., Ltd.",750114,Vinda International Holdings Limited,8616984
Southern Province Cement Company,1169663,Southern Cross Media Group Limited,18404045
Norwegian Finans Holding ASA,1922751,"Koshidaka Holdings Co., Ltd.",1188958
PT Vale Indonesia Tbk.,59528827,Raffles Medical Group Ltd,22573392
"Unicaja Banco, SA",21509217,Compagnie d'Entreprises CFE SA,191497
The City of London Investment Trust plc,3182023,ORIENT SECURITIES CO LTD Class A,11216420
"Doosan Heavy Industries & Construction Co., Ltd.",3059636,HANJIN KAL Corp.,775096
Safehold Inc.,568043,Globant SA,167812
"Bluerock Residential Growth REIT, Inc.",1354429,"Baoshan Iron & Steel Co., Ltd. Class A",18298534
MMG Limited,63968979,"Safehold, Inc.",560808
Bar Harbor Bankshares,695679,Coronado Global Resources Inc. Shs Chess Depository Interests Repr 10 Sh,7580456
"Promotora de Informaciones, S.A.",11019373,NIO Inc. Sponsored ADR Class A,6640134
"Tsubaki Nakashima Co., Ltd.",1041184,Wan Hai Lines Ltd.,25356289
DO & CO Aktiengesellschaft,175185,"Pacific Industrial Co., Ltd.",1189341
"Livongo Health, Inc.",678736,"ShotSpotter, Inc.",382469
CMC Magnetics Corporation,55987326,NRW Holdings Limited,10009484
"Cheng Uei Precision Industry Co., Ltd.",13875068,Vastned Retail NV,573835
"Fuji Media Holdings, Inc.",1219859,Cosan Logistica SA,3404429
"BioDelivery Sciences International, Inc.",3395428,Abdullah Al Othaim Markets Co.,741250
Marcopolo S.A.,19033567,Modern Times Group MTG AB Class B,1806120
Korean Reinsurance Company,2352727,"Alector, Inc.",888235
Star Petroleum Refining Public Company Limited,50501562,Emlak Konut Gayrimenkul Yatirim Ortakligi A.g.,76917615
"Bank of Okinawa, Ltd.",532779,Grupo Comercial Chedraui SAB de CV Class B,11086532
"Manila Water Company, Inc.",38183647,Collins Foods Limited,2818328
Pou Sheng International (Holdings) Limited,52283928,MITIE Group PLC,9435165
"Calix, Inc.",2492597,Prestige Estates Projects Limited,4532971
AES Tietê Energia S.A.,5386679,"GenMark Diagnostics, Inc.",2591380
Sok Marketler Ticaret A.S.,8731188,"Sany Heavy Industry Co., Ltd. Class A",8197660
Berjaya Sports Toto Berhad,25150685,Dah Sing Financial Holdings Limited,3732842
NeoPhotonics Corporation,2383040,"Showa Sangyo Co., Ltd.",593823
PCSB Financial Corporation,799014,Arcadyan Technology Corporation,4832913
DLF Limited,7186442,Ladenburg Thalmann Financial Services Inc.,4890173
Delek Group Ltd.,126306,Datatec Limited,7051061
"Hogy Medical Co.,Ltd.",581467,"Nitto Boseki Co., Ltd.",738611
The Mercantile Investment Trust plc,6291023,Braskem S.A. Sponsored ADR Pfd Class A,922984
Stobart Group Limited,9896762,"New Hope Liuhe Co., Ltd. Class A",5953035
Advanced Ceramic X Corporation,1829586,Aventus Grup Stapled Secs Cons of 1 Ut Aventus Re Prop Fund + 1 Sh of Aventus Hldgs,9827438
DAIHEN Corporation,531125,Sbanken ASA,2159320
"Domo, Inc.",941545,Hexaware Technologies Limited,3189113
"LSIS Co., Ltd.",398185,Option Care Health Inc,6422076
"Advanced Emissions Solutions, Inc.",1127964,"Express, Inc.",6116076
Accell Group N.V.,628703,Cosmo Pharmaceuticals NV,189936
"Safeguard Scientifics, Inc.",1291339,Aditya Birla Fashion & Retail Ltd.,6093231
Steel Authority of India Limited,33667105,"Foshan Haitian Flavouring & Food Co., Ltd. Class A",1150156
Cosmo Pharmaceuticals N.V.,190614,"International Games System Co., Ltd.",1674976
Farmers National Banc Corp.,1117714,Hyosung Corporation,241344
"Prima Meat Packers, Ltd.",775294,"Genexine, Inc.",343070
Nippon Steel Trading Corporation,404066,"Kobe Bussan Co., Ltd.",295309
IOI Properties Group Berhad,56968275,Hosiden Corp.,1480771
Morita Holdings Corporation,977566,"Daewoo Engineering & Construction Co., Ltd",4794661
"OBIC Business Consultants Co., Ltd.",404921,Vectura Group plc,16909566
"Public Joint Stock Company ""SAFMAR Financial investments""",2068860,"Old Second Bancorp, Inc.",1301689
Sbanken ASA,2137387,"Bank of Ningbo Co., Ltd. Class A",4849807
Johnson Electric Holdings Limited,8675270,Oshidori International Holdings Limited,134054469
Melco Resorts & Entertainment Limited,742620,Adani Enterprises Limited,8868956
"Aedas Homes, S.A.",705746,China BlueChemical Ltd. Class H,60143068
Indivior PLC,23304945,Wells Fargo Cap X Debt,13867000
Total Access Communication Public Company Limited,8290400,"WideOpenWest, Inc.",2283453
"GMéxico Transportes, S.A.B. de C.V.",12833396,"INNOCEAN Worldwide, Inc.",292974
Juventus Football Club S.p.A.,10107314,AARTI Industries Ltd,683573
Serba Dinamik Holdings Berhad,15135300,Serba Dinamik Holdings Bhd,17016760
Invacare Corporation,2219015,Landec Corporation,1764596
NEC Networks & System Integration Corporation,604949,Enel Chile SA Sponsored ADR,3457824
"Meitu, Inc.",64443864,Exedy Corporation,803338
"Asia Pacific Telecom Co.,Ltd.",74466078,Koza Altin Isletmeleri A.S.,1614866
SFA Engineering Corporation,469149,Hamburger Hafen und Logistik AG,648489
"UFP Technologies, Inc.",391778,Meidensha Corporation,1059556
Pilipinas Shell Petroleum Corporation,24351532,Grupo Financiero Galicia SA Sponsored ADR Class B,464683
"Samty Co., Ltd.",919019,"Seiren Co., Ltd.",1188989
Sato Holdings Corporation,615725,Kiniksa Pharmaceuticals Ltd. Class A,1217721
Marfrig Global Foods S.A.,7145564,Synlait Milk Ltd.,2485381
Toshiba Plant Systems & Services Corporation,958410,"Nippon Densetsu Kogyo Co., Ltd.",853773
Tung Ho Steel Enterprise Corporation,23147717,"Japan Aviation Electronics Industry, Limited",1171936
Northgate plc,3982124,Zhou Hei Ya International Holdings Company Limited,30254471
RHÖN-KLINIKUM Aktiengesellschaft,654642,Grendene S.A.,8151232
Uponor Oyj,1456415,Lifestyle International Holdings Limited,11988051
Raffles Medical Group Ltd,22669999,Chesnara Plc,4057030
Braskem S.A.,1064065,New Age Beverages Corp,3525671
Astro Malaysia Holdings Berhad,48929272,"Impinj, Inc.",573934
Tipco Asphalt Public Company Limited,22867328,EVRY ASA,4504903
BioSpecifics Technologies Corp.,277233,Inversiones La Construccion SA,1043468
"Towa Pharmaceutical Co., Ltd.",692309,Promotora de Informaciones SA Class A,11031353
"Max Co., Ltd.",932045,PT Sentul City Tbk,1543498018
"Weichai Power Co., Ltd.",9142678,"Bank Of Okinawa, Ltd.",530480
"North Pacific Bank, Ltd.",7373886,Randon SA Implementos e Participacoes Pfd,6217875
Era Group Inc.,1456540,Clarus Corporation,1133984
3i Infrastructure plc,4166173,Scandic Hotels Group AB,1931527
Huadian Fuxin Energy Corporation Limited,86043785,Schaeffler AG,2167343
"NN, Inc.",1861222,"KYORIN Holdings, Inc.",965305
Aditya Birla Fashion and Retail Limited,5930363,StarHub Ltd,14801613
Mobile Telecommunications Company Saudi Arabia,4768066,China Yuhua Education Corp. Ltd.,32613489
PT. Media Nusantara Citra Tbk,168666623,"Vera Bradley, Inc.",1360722
"Translate Bio, Inc.",1524907,"Weichai Power Co., Ltd. Class A",9232378
Innocean Worldwide Inc.,289507,PT AKR Corporindo Tbk,57170258
Dart Group PLC,1584125,NCC Group plc,7208759
Globant S.A.,178329,"NICHIIGAKKAN CO.,LTD.",1023560
Inversiones La Construcción S.A.,1043971,Sports Direct International plc,5372044
"Aier Eye Hospital Group Co., Ltd.",3278901,Kajaria Ceramics Limited,2368419
TPI Polene Public Company Limited,290750623,PT Indo Tambangraya Megah Tbk,13575900
"Kohnan Shoji Co., Ltd.",693834,Zynerba Pharmaceuticals Inc,1202595
Euromoney Institutional Investor Plc,895043,"Kato Sangyo Co., Ltd.",547605
Seiko Holdings Corporation,714952,"Kolon Industries, Inc.",482324
Ai Holdings Corporation,952997,Quanterix Corporation,482021
"Citizens, Inc.",2134186,Compania Sud Americana de Vapores S.A.,477550553
EMC Insurance Group Inc.,432583,Alm. Brand A/S,1804379
Interparfums SA,358151,PT Media Nusantara Citra Tbk,165868823
DRB-HICOM Berhad,26114217,CKD Corporation,1458323
Acacia Mining plc,5203853,Texas Pacific Land Trust,20643
"Ryosan Company, Limited",606181,Farmers National Banc Corp.,1095421
"ALPEK, S.A.B. de C.V.",13016196,"Assembly Biosciences, Inc.",1203767
Guangshen Railway Company Limited,47522890,"NAPCO Security Technologies, Inc.",545973
Alpha and Omega Semiconductor Limited,1170735,Tata Communications Limited,2380305
KCE Electronics Public Company Limited,26030696,NIPPON STEEL TRADING CORPORATION,400896
Kadokawa Corporation,1119920,Ahlstrom-Munksjo Oyj,978300
China Bills Finance Corporation,32227180,"Hogy Medical Co., Ltd.",577869
Ahlstrom-Munksjö Oyj,976701,Gourmet Master Co. Ltd.,2707740
"KOMEDA Holdings Co., Ltd.",844143,"Lannett Company, Inc.",2664012
Hamburger Hafen und Logistik Aktiengesellschaft,637420,Pakistan Petroleum Limited,19274372
Scandic Hotels Group AB (publ),1870573,LS Corp.,431469
"Tokyo Broadcasting System Holdings, Inc.",956102,Morita Holdings Corporation,973870
Bellamy's Australia Limited,2745775,"North Pacific Bank, Ltd.",7196596
"Shenwan Hongyuan Group Co., Ltd.",21440379,PT Mitra Adiperkasa Tbk,238889687
Chularat Hospital Public Company Limited,201929000,"Superior Energy Services, Inc.",12388418
Companhia Energética de Minas Gerais,3715595,Star Petroleum Refining Public Co. Ltd.(Alien Mkt),50499562
888 Holdings plc,8188013,"Daewoong Pharmaceutical Co., Ltd.",120117
"Genexine, Inc.",343114,TPI Polene Power Public Company Ltd(Alien Mkt),81035780
Cosan Logística S.A.,3085329,Unitech Printed Circuit Board Corp.,20900628
"Euglena Co., Ltd.",1800798,Keihin Corp.,1149456
Great Ajax Corp.,996032,Kernel Holding S.A.,1273729
transcosmos inc.,660750,"MOS FOOD SERVICES, INC.",717390
Sierra Bancorp,582935,Tung Ho Steel Enterprise Corp.,23147717
"Aeon Delight Co., Ltd.",488746,"UFP Technologies, Inc.",385398
"Funko, Inc.",592347,"Egis Technology, Inc.",2235682
Clean Energy Fuels Corp.,6958111,"Titan International, Inc.",3273662
China South City Holdings Limited,114287132,Clal Insurance Enterprises Holdings Limited,981719
"KEPCO Plant Service & Engineering Co.,Ltd.",552344,KPJ Healthcare Bhd.,70600967
"Golden Entertainment, Inc.",1059708,American National Bankshares Inc.,412806
TKC Corporation,364154,China Tian Lun Gas Holdings Limited,14237002
"Raito Kogyo Co., Ltd.",1178256,"Saizeriya Co., Ltd.",678153
Pakistan Petroleum Limited,19530279,Yamazen Corporation,1665558
BBX Capital Corporation,3072804,"Musashino Bank, Ltd.",820497
"Southern First Bancshares, Inc.",374696,Agenus Inc.,5316791
Emeco Holdings Limited,10730035,Emira Property Fund Ltd.,16891143
VSE Corporation,408691,"Sangsangin Co., Ltd.",997781
Shinkong Synthetic Fibers Corporation,41145728,"AEDAS Homes, S.A.U.",701020
Wan Hai Lines Ltd.,24596289,Hitachi Zosen Corporation,4409911
Randon S.A. Implementos e Participações,6218275,NVE Corporation,228660
"MediciNova, Inc.",1664525,Korean Reinsurance Company,2352700
WashTec AG,277273,"Intrepid Potash, Inc.",4735042
HUB24 Limited,1693297,Leopalace21 Corporation,7572769
"SIGA Technologies, Inc.",2681237,"Calix, Inc.",2424753
"Career Technology (Mfg.) Co., Ltd.",14314268,"Kameda Seika Co., Ltd.",339263
DBV Technologies S.A.,786102,Jubilant Life Sciences Limited,2491306
"NichiiGakkan Co., Ltd.",1007557,Sok Marketler Ticaret AS,8730334
Dah Sing Financial Holdings,3809598,"Raito Kogyo Co., Ltd.",1194457
American National Bankshares Inc.,422224,"Haier Smart Home Co., Ltd. Class A",6488336
Daibiru Corporation,1511778,"Paradise Co., Ltd",1147532
"Komeri Co.,Ltd.",720681,Charter Court Financial Services Group Ltd.,4381054
ASKUL Corporation,535599,Cascades Inc.,1730291
"Nippon Television Holdings, Inc.",1156869,Earth Corporation,367557
Dubai Financial Market PJSC,61494060,Hunting PLC,2538000
"Shinko Electric Industries Co., Ltd.",1749450,NEC Networks & System Integration Corporation,607751
"EO Technics Co., Ltd.",215863,PCSB Financial Corporation,782131
PT Wijaya Karya (Persero) Tbk.,101921056,Skyfame Realty (Holdings) Ltd,105023633
"Lands' End, Inc.",1103118,"Odonate Therapeutics, Inc.",431044
"Zynerba Pharmaceuticals, Inc.",1232456,Cornerstone Building Brands Inc,2712569
"Onward Holdings Co., Ltd.",3004483,"Tokyo Broadcasting System Holdings, Inc.",927478
Qudian Inc.,2011601,Turquoise Hill Resources Ltd.,26180300
"Prosegur Cash, S.A.",10076523,BioSpecifics Technologies Corp.,264535
KITZ Corporation,2197558,Huadian Fuxin Energy Corp. Ltd. Class H,84579785
Okasan Securities Group Inc.,4227198,Johnson Electric Holdings Limited,8703592
Public Joint Stock Company M.video,2172415,Rural Funds Group,9901838
Saudi Airlines Catering Company,636100,"Nongshim Co., Ltd.",79323
Kasen International Holdings Limited,16973568,"Descente,Ltd.",1009626
"LONGi Green Energy Technology Co., Ltd.",3806032,Aiful Corporation,7670089
Rai Way S.p.A.,2538460,Toshiba Plant Systems & Services Corporation,934705
"Surgery Partners, Inc.",1757150,"SK Networks Co., Ltd.",3733504
Godrej Industries Limited,2600997,"Chemocentryx, Inc.",1689904
"Nippon Sheet Glass Company, Limited",2393640,"Syros Pharmaceuticals, Inc.",1695030
"NCI Building Systems, Inc.",2755491,Keller Group plc,1947945
Cambridge Bancorp,189506,Cemex SAB de CV Sponsored ADR,3700752
Modern Times Group Mtg AB,1687593,OMNOVA Solutions Inc.,2517810
Public Joint-Stock Company Unipro,361637563,Asia Cement (China) Holdings Corp.,11234705
"Civista Bancshares, Inc.",701521,Bluerock Residential Growth REIT Inc Class A,1333914
KYB Corporation,513449,Road King Infrastructure Limited,7581245
Nampak Limited,21098105,Accuray Incorporated,4043579
TalkTalk Telecom Group PLC,10999391,Territorial Bancorp Inc.,505953
"TETRA Technologies, Inc.",8086996,China South City Holdings Limited,113173132
Sansiri Public Company Limited,342338233,"Nippon Television Holdings, Inc.",1123102
"Heiwado Co., Ltd.",771825,Dubai Financial Market (DFM) - PJSC,60674093
"Musashi Seimitsu Industry Co., Ltd.",1181678,Pfizer Limited,353744
DCB Bank Ltd.,5231395,"KOMEDA Holdings Co., Ltd.",838645
"Napco Security Technologies, Inc.",569876,"CRA International, Inc.",407076
"Chunghwa Precision Test Tech. Co., Ltd.",612811,NCC Limited,14691182
"Monex Group, Inc.",4852085,"China Resources Medical Holdings Co., Ltd.",21386461
Vinda International Holdings Limited,8596984,"Osstem Implant Co., Ltd.",267752
Oppenheimer Holdings Inc.,494735,Vector Limited,6150118
Mouwasat Medical Services Company,649897,Bank of Cyprus Holdings Plc,8857955
Hosiden Corporation,1485368,"LS Industrial Systems Co., Ltd.",398714
"Omega Flex, Inc.",153272,"Fuji Media Holdings, Inc.",1187764
"Hokkoku Bank, Ltd.",631651,Chularat Hospital PCL(Alien Mkt),201929000
Carel Industries S.p.A.,1092183,Cherry Hill Mortgage Investment Corp.,971186
Clal Insurance Enterprises Holdings Ltd.,985472,"BOE Technology Group Co., Ltd. Class A",26411954
"BML, Inc.",544275,SAFMAR Financial investment Public Joint Stock Company,2069900
Frontier Real Estate Investment Corporation,3553,Metrovacesa SA,1484063
"Kameda Seika Co.,Ltd.",334278,"Miroku Jyoho Service Co., Ltd.",490672
"Japan Excellent, Inc.",9425,"Shenwan Hongyuan Group Co., Ltd. Class A",21848779
